Position,Artist Name,Song Name,Days Song Released,Top 10 (xTimes),Peak Position,Number of times in Peak Position,Peak Streams,Total Streams,Total of all streams,Percentage of Total streams,,,
5759,Brent Faiyaz ,JACKIE BROWN,5,0,44,0,474973,1541542,2.02936E+11,0.00075962,,,
5760,Taylor Swift ,The Other Side Of The Door (Taylor’s Version),4,0,50,0,642968,1541502,2.02936E+11,0.0007596,,,
5761,Mike Dimes ,HOME,6,0,90,0,297065,1537483,2.02936E+11,0.00075762,,,
5762,Sam Smith ,Scars,7,0,116,0,256501,1537230,2.02936E+11,0.000757495,,,
5763,Lana Del Rey ,13 Beaches,7,0,87,0,337020,1536663,2.02936E+11,0.000757216,,,
5764,Lil Baby ,Up The Side,5,0,57,0,439993,1535041,2.02936E+11,0.000756416,,,
5765,Luke Combs ,Reasons,5,0,43,0,512054,1534831,2.02936E+11,0.000756313,,,
5766,Chris Brown ,Fine By Me,14,0,104,0,148589,1534673,2.02936E+11,0.000756235,,,
5767,BTS ,Love Maze,6,0,103,0,331128,1534138,2.02936E+11,0.000755971,,,
5768,YoungBoy Never Broke Again ,Umm Hmm,5,0,47,0,432681,1533686,2.02936E+11,0.000755749,,,
5769,The Beatles ,Let It Be  Remastered,11,0,53,0,248163,1533633,2.02936E+11,0.000755723,,,
5770,Playboi Carti ,Teen X,4,0,75,0,683532,1532501,2.02936E+11,0.000755165,,,
5771,Jason Aldean ,Any Ol' Barstool,9,0,184,0,180332,1531525,2.02936E+11,0.000754684,,,
5772,Baby Tate ,I Am,7,0,173,0,229638,1530789,2.02936E+11,0.000754321,,,
5773,Rod Wave ,Break My Heart,5,0,80,0,410590,1528904,2.02936E+11,0.000753392,,,
5774,ScHoolboy Q ,5200,5,0,54,0,488794,1528696,2.02936E+11,0.00075329,,,
5775,The Weeknd ,Where You Belong,20,0,112,0,92108,1528203,2.02936E+11,0.000753047,,,
5776,Camila Cabello ,Consequences,7,0,107,0,288862,1527687,2.02936E+11,0.000752793,,,
5777,Lil Nas X ,Kick It,5,0,41,0,508555,1527276,2.02936E+11,0.00075259,,,
5778,Mumford & Sons ,Wilder Mind,11,0,33,0,239493,1526675,2.02936E+11,0.000752294,,,
5779,Jonas Brothers ,Comeback,5,0,60,0,491243,1526628,2.02936E+11,0.000752271,,,
5780,Pentatonix ,That's Christmas to Me,21,0,107,0,126244,1526397,2.02936E+11,0.000752157,,,
5781,Gunna ,MET GALA,5,0,47,0,499238,1525937,2.02936E+11,0.00075193,,,
5782,Gunna ,ARGENTINA,4,0,24,0,689026,1525189,2.02936E+11,0.000751562,,,
5783,Imagine Dragons ,I Don’t Know Why,7,0,78,0,316227,1524404,2.02936E+11,0.000751175,,,
5784,Logic ,Open Mic\\Aquarius III,4,0,45,0,664584,1524137,2.02936E+11,0.000751043,,,
5785,Eminem ,Offended,5,0,65,0,448004,1523947,2.02936E+11,0.00075095,,,
5786,YoungBoy Never Broke Again ,All In,5,0,53,0,416369,1521197,2.02936E+11,0.000749595,,,
5787,Vince Staples ,Big Fish,7,0,99,0,273891,1520925,2.02936E+11,0.000749461,,,
5788,Johnny Mathis ,When a Child Is Born,3,0,86,0,719517,1519437,2.02936E+11,0.000748727,,,
5789,Tory Lanez ,DrIP DrIp Drip,6,0,119,0,332736,1518448,2.02936E+11,0.00074824,,,
5790,Bryson Tiller ,Get Mine,7,0,105,0,297852,1518152,2.02936E+11,0.000748094,,,
5791,Future ,Harlem Shake,4,0,31,0,652956,1517383,2.02936E+11,0.000747715,,,
5792,The Jackson 5 ,I Want You Back,6,0,59,0,372515,1516642,2.02936E+11,0.00074735,,,
5793,BTS ,134340,6,0,94,0,345334,1515100,2.02936E+11,0.00074659,,,
5794,Isabel LaRosa ,i'm yours,5,0,126,0,317471,1514589,2.02936E+11,0.000746338,,,
5795,Moneybagg Yo ,Hard For The Next,6,0,76,0,367736,1514060,2.02936E+11,0.000746078,,,
5796,Lana Del Rey ,Dealer,6,0,74,0,289364,1513302,2.02936E+11,0.000745704,,,
5797,Pop Smoke ,Manslaughter,4,0,23,0,695041,1512877,2.02936E+11,0.000745495,,,
5798,Big Sean ,Overtime,5,0,69,0,407164,1510687,2.02936E+11,0.000744416,,,
5799,Ariana Grande ,Beauty and the Beast,8,0,82,0,278628,1510135,2.02936E+11,0.000744144,,,
5800,Machine Gun Kelly ,god save me,5,0,27,0,512796,1510120,2.02936E+11,0.000744136,,,
5801,Dreamville ,1993,5,0,58,0,425995,1509230,2.02936E+11,0.000743698,,,
5802,Logic ,Young Jesus,12,0,99,0,166440,1508818,2.02936E+11,0.000743495,,,
5803,Future ,Photo Copied,13,0,137,0,125006,1507386,2.02936E+11,0.000742789,,,
5804,Alesso ,When I’m Gone,7,0,118,0,241518,1506441,2.02936E+11,0.000742323,,,
5805,Moneybagg Yo ,Blow,6,0,128,0,288293,1505760,2.02936E+11,0.000741988,,,
5806,Khalid ,Skyline,5,0,61,0,371005,1505332,2.02936E+11,0.000741777,,,
5807,Young M.A ,BIG,7,0,172,0,225067,1505058,2.02936E+11,0.000741642,,,
5808,KONGOS ,Come with Me Now,27,0,122,0,68773,1503848,2.02936E+11,0.000741046,,,
5809,Jidenna ,Classic Man  Remix,17,0,63,0,144352,1503237,2.02936E+11,0.000740744,,,
5810,Meek Mill ,Bad for You,13,0,59,0,182578,1499514,2.02936E+11,0.00073891,,,
5811,Luke Combs ,Moon Over Mexico,5,0,89,0,361061,1499260,2.02936E+11,0.000738785,,,
5812,Drake ,4pm in Calabasas,4,0,27,0,625868,1498265,2.02936E+11,0.000738294,,,
5813,Migos ,Type Shit,4,0,41,0,641918,1498203,2.02936E+11,0.000738264,,,
5814,Young Thug ,Lil Baby,5,0,53,0,437960,1498140,2.02936E+11,0.000738233,,,
5815,Dreamville ,Don't Hit Me Right Now,5,0,50,0,447083,1497668,2.02936E+11,0.000738,,,
5816,Lady Gaga ,Sine From Above,4,0,34,0,628600,1496705,2.02936E+11,0.000737526,,,
5817,Kaash Paige ,Love Songs,7,0,186,0,216288,1493356,2.02936E+11,0.000735875,,,
5818,J Balvin ,Sigue,5,0,50,0,424226,1492771,2.02936E+11,0.000735587,,,
5819,John Mellencamp ,Jack & Diane,6,0,90,0,299909,1491217,2.02936E+11,0.000734821,,,
5820,Meek Mill ,On the Regular,8,0,95,0,269557,1491013,2.02936E+11,0.000734721,,,
5821,Drake ,Days in The East,4,0,24,0,642136,1490175,2.02936E+11,0.000734308,,,
5822,Kelly Clarkson ,Under The Mistletoe  Bonus Track,4,0,140,0,475192,1488034,2.02936E+11,0.000733253,,,
5823,Taylor Swift ,Superstar (Taylor’s Version),4,0,51,0,637154,1487939,2.02936E+11,0.000733206,,,
5824,BTS ,Outro : Ego,5,0,97,0,363778,1487446,2.02936E+11,0.000732963,,,
5825,Porter Robinson ,Everything Goes On,5,0,52,0,411306,1487328,2.02936E+11,0.000732905,,,
5826,Bryson Tiller ,Inhale,4,0,54,0,535906,1487294,2.02936E+11,0.000732888,,,
5827,Khalid ,9.13,4,0,45,0,658176,1486200,2.02936E+11,0.000732349,,,
5828,Florida Georgia Line ,I Love My Country,6,0,125,0,293115,1482840,2.02936E+11,0.000730694,,,
5829,Little Big Town ,Better Man,9,0,132,0,199767,1482743,2.02936E+11,0.000730646,,,
5830,Swae Lee ,Reality Check,6,0,73,0,347588,1481337,2.02936E+11,0.000729953,,,
5831,DJ Khaled ,KEEP GOING,4,0,28,0,626199,1480947,2.02936E+11,0.000729761,,,
5832,Nigo ,Arya,5,0,47,0,413735,1480878,2.02936E+11,0.000729727,,,
5833,Rihanna ,Born Again,5,0,94,0,366804,1480081,2.02936E+11,0.000729334,,,
5834,One Direction ,No Control,17,0,61,0,225355,1479874,2.02936E+11,0.000729232,,,
5835,Jonas Brothers ,Happy When I'm Sad,5,0,54,0,503238,1479745,2.02936E+11,0.000729168,,,
5836,Gucci Mane ,1st Day Out Tha Feds,10,0,109,0,204862,1478953,2.02936E+11,0.000728778,,,
5837,Eminem ,Framed,5,0,63,0,452387,1478936,2.02936E+11,0.00072877,,,
5838,YFN Lucci ,Key to the Streets,12,0,172,0,134736,1478821,2.02936E+11,0.000728713,,,
5839,Lady Gaga ,Chromatica II,4,0,28,0,653031,1478801,2.02936E+11,0.000728703,,,
5840,6LACK ,Nonchalant,6,0,120,0,306120,1478557,2.02936E+11,0.000728583,,,
5841,BTS ,Magic Shop,6,0,115,0,320243,1478287,2.02936E+11,0.00072845,,,
5842,Twenty One Pilots ,The Outside,5,0,63,0,462646,1477871,2.02936E+11,0.000728245,,,
5843,Young Thug ,Cruise Ship,6,0,75,0,373539,1477620,2.02936E+11,0.000728121,,,
5844,CORPSE ,POLTERGEIST!,5,0,30,0,464651,1477314,2.02936E+11,0.000727971,,,
5845,mazie ,dumb dumb,6,0,112,0,280279,1476765,2.02936E+11,0.0007277,,,
5846,John Carpenter ,Halloween Theme  Main Title,5,0,63,0,339489,1476469,2.02936E+11,0.000727554,,,
5847,Belly ,What You Want,6,0,103,0,367578,1476187,2.02936E+11,0.000727415,,,
5848,Gunna ,Who You Foolin,5,0,88,0,413186,1475348,2.02936E+11,0.000727002,,,
5849,David Guetta ,Yesterday,23,0,107,0,80461,1474887,2.02936E+11,0.000726775,,,
5850,Michael Bublé ,Blue Christmas,16,0,47,0,183053,1474818,2.02936E+11,0.000726741,,,
5851,Don Toliver ,5X,5,0,34,0,493234,1473841,2.02936E+11,0.000726259,,,
5852,YoungBoy Never Broke Again ,Flossin (Bonus),5,0,61,0,342282,1473586,2.02936E+11,0.000726133,,,
5853,Surfaces ,Wave of You,6,0,115,0,284056,1472841,2.02936E+11,0.000725766,,,
5854,Beyoncé ,Daddy Lessons,4,0,49,0,499408,1471877,2.02936E+11,0.000725291,,,
5855,DRAM ,Ill Nana,7,0,127,0,235240,1471408,2.02936E+11,0.00072506,,,
5856,Lil Baby ,Same Thing,4,0,48,0,578621,1470545,2.02936E+11,0.000724635,,,
5857,Ella Fitzgerald ,What Are You Doing New Year's Eve?,3,0,96,0,590353,1470359,2.02936E+11,0.000724543,,,
5858,Lil Skies ,Flooded,5,0,83,0,423335,1469798,2.02936E+11,0.000724267,,,
5859,Rod Wave ,Stone Rolling,5,0,44,0,432788,1469347,2.02936E+11,0.000724045,,,
5860,Quality Control ,My Dawg,6,0,123,0,261170,1468643,2.02936E+11,0.000723698,,,
5861,Likybo ,Kraazy,6,0,148,0,264734,1468307,2.02936E+11,0.000723532,,,
5862,Gunna ,NASTY GIRL / ON CAMERA,5,0,59,0,476831,1467935,2.02936E+11,0.000723349,,,
5863,A Thousand Horses ,Smoke,19,0,149,0,90606,1467142,2.02936E+11,0.000722958,,,
5864,Kacey Musgraves ,good wife,5,0,54,0,474826,1466965,2.02936E+11,0.000722871,,,
5865,Machine Gun Kelly ,die in california,5,0,47,0,431507,1466886,2.02936E+11,0.000722832,,,
5866,Beyoncé ,All Night,4,0,53,0,480638,1466739,2.02936E+11,0.00072276,,,
5867,Meek Mill ,I Got the Juice,10,0,47,0,221163,1465747,2.02936E+11,0.000722271,,,
5868,Rich The Kid ,Like Mike,5,0,100,0,353815,1464726,2.02936E+11,0.000721768,,,
5869,Migos ,Made Men,5,0,69,0,484373,1463851,2.02936E+11,0.000721336,,,
5870,Melanie Martinez ,Nurse's Office,6,0,126,0,276639,1463314,2.02936E+11,0.000721072,,,
5871,Miley Cyrus ,Younger Now,7,0,68,0,315285,1462785,2.02936E+11,0.000720811,,,
5872,Jason Mraz ,I'm Yours,20,0,87,0,112400,1462730,2.02936E+11,0.000720784,,,
5873,Future ,Poppin' Tags,7,0,81,0,325659,1461776,2.02936E+11,0.000720314,,,
5874,Trippie Redd ,Leray,4,0,26,0,665205,1461259,2.02936E+11,0.000720059,,,
5875,J Balvin ,UN PESO,5,0,53,0,458547,1460445,2.02936E+11,0.000719658,,,
5876,A Boogie Wit da Hoodie ,Love Drugs and Sex,5,0,102,0,428476,1460294,2.02936E+11,0.000719584,,,
5877,Lil Wayne ,Funeral,3,0,25,0,730769,1459482,2.02936E+11,0.000719184,,,
5878,Jonas Brothers ,Trust,5,0,61,0,490657,1459316,2.02936E+11,0.000719102,,,
5879,Kid Ink ,Hotel,21,0,103,0,92853,1458532,2.02936E+11,0.000718715,,,
5880,Logic ,Like Woah,12,0,101,0,168402,1458336,2.02936E+11,0.000718619,,,
5881,Future ,Hard To Choose One,4,0,37,0,608323,1456821,2.02936E+11,0.000717872,,,
5882,Ed Sheeran ,First Times,5,0,35,0,472495,1455966,2.02936E+11,0.000717451,,,
5883,Kendrick Lamar ,Mortal Man,7,0,30,0,300176,1455813,2.02936E+11,0.000717376,,,
5884,Isaiah Rashad ,RIP Young,5,0,56,0,440641,1455261,2.02936E+11,0.000717104,,,
5885,BTS ,Intro: Singularity,6,0,121,0,303415,1454942,2.02936E+11,0.000716946,,,
5886,Frank Ocean ,Cayendo (Side A  Acoustic),4,0,23,0,672984,1454789,2.02936E+11,0.000716871,,,
5887,Dierks Bentley ,Beers On Me,6,0,130,0,270497,1454782,2.02936E+11,0.000716868,,,
5888,2 Chainz ,Trap Check,7,0,118,0,234274,1453577,2.02936E+11,0.000716274,,,
5889,Summer Walker ,You Don’t Know Me,4,0,24,0,604494,1453470,2.02936E+11,0.000716221,,,
5890,Fall Out Boy ,"Sugar, We're Goin Down",19,0,81,0,167570,1452048,2.02936E+11,0.00071552,,,
5891,Lil Tecca ,"Left, Right",6,0,145,0,271626,1451725,2.02936E+11,0.000715361,,,
5892,Lil Wayne ,Dreams,4,0,51,0,534458,1451516,2.02936E+11,0.000715258,,,
5893,Post Malone ,"New Recording 12, Jan 3, 2020",4,0,43,0,573222,1451281,2.02936E+11,0.000715142,,,
5894,Playboi Carti ,Stop Breathing,3,0,61,0,871581,1448060,2.02936E+11,0.000713555,,,
5895,The Kid LAROI ,OVER YOU,5,0,43,0,492579,1447929,2.02936E+11,0.000713491,,,
5896,XXXTENTACION ,Introduction (instructions),4,0,59,0,498925,1446841,2.02936E+11,0.000712954,,,
5897,Drake ,5 Am in Toronto,4,0,30,0,611832,1445111,2.02936E+11,0.000712102,,,
5898,Lil Yachty ,Minnesota,11,0,162,0,148760,1442600,2.02936E+11,0.000710865,,,
5899,A$AP Ferg ,Work REMIX,9,0,180,0,180383,1442097,2.02936E+11,0.000710617,,,
5900,London On Da Track ,No Flag,7,0,129,0,264948,1441294,2.02936E+11,0.000710221,,,
5901,Dreamville ,Got Me,5,0,64,0,392825,1439834,2.02936E+11,0.000709502,,,
5902,Bruno Mars ,Love's Train,5,0,85,0,339901,1439636,2.02936E+11,0.000709404,,,
5903,Ed Sheeran ,2step,5,0,27,0,484887,1439075,2.02936E+11,0.000709128,,,
5904,TWENTY88 ,Déjà vu,11,0,125,0,146318,1439069,2.02936E+11,0.000709125,,,
5905,Hunter Hayes ,Where It All Begins,15,0,76,0,133605,1438623,2.02936E+11,0.000708905,,,
5906,Future ,CUDDLE MY WRIST,4,0,46,0,560175,1436270,2.02936E+11,0.000707745,,,
5907,Meek Mill ,Classic,10,0,50,0,213647,1434867,2.02936E+11,0.000707054,,,
5908,John Mayer ,Carry Me Away,4,0,47,0,534755,1434094,2.02936E+11,0.000706673,,,
5909,Trippie Redd ,Finish Line,4,0,36,0,580620,1433366,2.02936E+11,0.000706314,,,
5910,Big Sean ,Why Would I Stop?,4,0,22,0,633040,1432751,2.02936E+11,0.000706011,,,
5911,Luke Combs ,Blue Collar Boys,5,0,56,0,474389,1432504,2.02936E+11,0.00070589,,,
5912,Imagine Dragons ,Machine,5,0,77,0,421537,1431448,2.02936E+11,0.000705369,,,
5913,Bad Bunny ,Caro,6,0,145,0,360472,1430701,2.02936E+11,0.000705001,,,
5914,John Legend ,What Christmas Means to Me,3,0,98,0,618252,1429666,2.02936E+11,0.000704491,,,
5915,Rex Orange County ,Pluto Projector,6,0,128,0,312693,1428466,2.02936E+11,0.0007039,,,
5916,Eminem ,Castle,5,0,72,0,407446,1425833,2.02936E+11,0.000702602,,,
5917,Jon Bellion ,Luxury,22,0,81,0,97699,1423994,2.02936E+11,0.000701696,,,
5918,Rich The Kid ,4 Phones,5,0,110,0,336113,1423265,2.02936E+11,0.000701337,,,
5919,Taylor Swift ,Wildest Dreams,7,0,115,0,247944,1422096,2.02936E+11,0.000700761,,,
5920,blink,182  She's Out Of Her Mind,9,0,62,0,320996,1421812,2.02936E+11,0.000700621,,,
5921,Post Malone ,Patient,8,0,136,0,199976,1421750,2.02936E+11,0.00070059,,,
5922,Trippie Redd ,Never Change,4,0,30,0,598142,1419959,2.02936E+11,0.000699708,,,
5923,Megan Thee Stallion ,Shots Fired,4,0,27,0,596824,1418792,2.02936E+11,0.000699133,,,
5924,Daft Punk ,One More Time,5,0,41,0,395344,1418501,2.02936E+11,0.000698989,,,
5925,Future ,Different,4,0,50,0,628027,1418180,2.02936E+11,0.000698831,,,
5926,IVE ,After LIKE,5,0,83,0,317433,1413975,2.02936E+11,0.000696759,,,
5927,DJ Khaled ,PARTY,4,0,36,0,552909,1410514,2.02936E+11,0.000695054,,,
5928,Panic! At The Disco ,The Overpass,5,0,75,0,411814,1409862,2.02936E+11,0.000694732,,,
5929,A$AP Rocky ,JD,9,0,36,0,256969,1408509,2.02936E+11,0.000694066,,,
5930,Drake ,Club Paradise,4,0,29,0,621897,1407560,2.02936E+11,0.000693598,,,
5931,Kinneret ,No Wind Resistance!,5,0,54,0,361510,1406684,2.02936E+11,0.000693166,,,
5932,Jessie Ware ,Say You Love Me,23,0,94,0,76995,1406247,2.02936E+11,0.000692951,,,
5933,Lee Greenwood ,God Bless The U.S.A.,5,0,66,0,346399,1405004,2.02936E+11,0.000692339,,,
5934,Lil Yachty ,OOPS,5,0,62,0,493604,1403765,2.02936E+11,0.000691728,,,
5935,Kanye West ,Siiiiiiiiilver Surffffeeeeer Intermission,9,0,103,0,189125,1402197,2.02936E+11,0.000690955,,,
5936,Kid Cudi ,Leader Of The Delinquents,4,0,31,0,512419,1401277,2.02936E+11,0.000690502,,,
5937,PinkPantheress ,Break It Off,7,0,184,0,205717,1400448,2.02936E+11,0.000690094,,,
5938,Future ,I Serve the Base,14,0,79,0,126472,1399804,2.02936E+11,0.000689776,,,
5939,Wiz Khalifa ,Burn Slow,14,0,101,0,134566,1399297,2.02936E+11,0.000689526,,,
5940,Kacey Musgraves ,starcrossed,5,0,59,0,453754,1398785,2.02936E+11,0.000689274,,,
5941,Kacey Musgraves ,cherry blossom,5,0,58,0,455460,1398666,2.02936E+11,0.000689215,,,
5942,Thomas Rhett ,Country Again,6,0,118,0,275552,1398265,2.02936E+11,0.000689018,,,
5943,Nicki Minaj ,Thought I Knew You,5,0,81,0,372310,1398231,2.02936E+11,0.000689001,,,
5944,Trippie Redd ,Real Feel,4,0,40,0,570425,1397694,2.02936E+11,0.000688736,,,
5945,GoldLink ,Crew REMIX,8,0,172,0,185281,1397065,2.02936E+11,0.000688427,,,
5946,The 1975 ,Give Yourself A Try,5,0,45,0,533157,1394894,2.02936E+11,0.000687357,,,
5947,JIN ,The Astronaut,4,0,54,0,506707,1392323,2.02936E+11,0.00068609,,,
5948,"Tyler, The Creator ",Glitter,7,0,118,0,288994,1390671,2.02936E+11,0.000685276,,,
5949,Lady Gaga ,Babylon,4,0,41,0,573449,1390518,2.02936E+11,0.0006852,,,
5950,Khalid ,Shot Down,8,0,162,0,193654,1389923,2.02936E+11,0.000684907,,,
5951,Brent Faiyaz ,VILLAIN'S THEME,3,0,11,0,814367,1386304,2.02936E+11,0.000683124,,,
5952,Wiz Khalifa ,Letterman,6,0,75,0,347448,1386197,2.02936E+11,0.000683071,,,
5953,YoungBoy Never Broke Again ,Life Support,5,0,56,0,405523,1385822,2.02936E+11,0.000682886,,,
5954,Lil Skies ,Blue Strips,5,0,96,0,400617,1385645,2.02936E+11,0.000682799,,,
5955,Summer Walker ,Toxic,4,0,31,0,539157,1384800,2.02936E+11,0.000682383,,,
5956,Lana Del Rey ,Cherry,6,0,86,0,342040,1381074,2.02936E+11,0.000680547,,,
5957,Taylor Swift ,This Is Why We Can’t Have Nice Things,6,0,121,0,250550,1380784,2.02936E+11,0.000680404,,,
5958,Wiz Khalifa ,Hot Now,4,0,44,0,579323,1380527,2.02936E+11,0.000680277,,,
5959,Pop Smoke ,Brush Em,4,0,30,0,628266,1379527,2.02936E+11,0.000679784,,,
5960,Lil Tecca ,Faster,5,0,71,0,363214,1378980,2.02936E+11,0.000679515,,,
5961,Lil Baby ,We Should,4,0,53,0,541151,1378278,2.02936E+11,0.000679169,,,
5962,Gunna ,you & me,4,0,45,0,558550,1377459,2.02936E+11,0.000678765,,,
5963,A$AP Rocky ,Wild for the Night,24,0,148,0,85361,1376990,2.02936E+11,0.000678534,,,
5964,"Tyler, The Creator ",Sometimes...,6,0,70,0,390432,1376849,2.02936E+11,0.000678465,,,
5965,Little Big Town ,"Wine, Beer, Whiskey",6,0,101,0,281951,1376749,2.02936E+11,0.000678415,,,
5966,Gucci Mane ,Cold Shoulder,4,0,88,0,443403,1375116,2.02936E+11,0.000677611,,,
5967,Quinn XCII ,Stay Next To Me,5,0,76,0,402482,1374762,2.02936E+11,0.000677436,,,
5968,Chris Stapleton ,Either Way,7,0,126,0,259066,1374206,2.02936E+11,0.000677162,,,
5969,blackbear ,make daddy proud,7,0,92,0,302945,1374046,2.02936E+11,0.000677084,,,
5970,Panic! At The Disco ,Old Fashioned,5,0,84,0,388625,1372521,2.02936E+11,0.000676332,,,
5971,Noah Kahan ,Northern Attitude,5,0,77,0,374992,1372064,2.02936E+11,0.000676107,,,
5972,Future ,Feds Did a Sweep,7,0,96,0,287495,1371678,2.02936E+11,0.000675917,,,
5973,Future ,Damage,6,0,69,0,342022,1371479,2.02936E+11,0.000675819,,,
5974,The Beatles ,Come Together  Remastered 2009,11,0,52,0,191024,1371034,2.02936E+11,0.000675599,,,
5975,John Mayer ,XO,17,0,120,0,103484,1371008,2.02936E+11,0.000675587,,,
5976,Anuel AA ,El Manual,5,0,70,0,368159,1369387,2.02936E+11,0.000674788,,,
5977,Gucci Mane ,Enormous,6,0,72,0,353811,1368647,2.02936E+11,0.000674423,,,
5978,The Kid LAROI ,PIKACHU,5,0,67,0,385044,1367197,2.02936E+11,0.000673709,,,
5979,Nelly Furtado ,Maneater,5,0,87,0,368870,1364190,2.02936E+11,0.000672227,,,
5980,Morgan Wallen ,Heartless  Wallen Album Mix,5,0,92,0,349181,1364090,2.02936E+11,0.000672178,,,
5981,Kim Cesarion ,Undressed,23,0,117,0,70946,1363464,2.02936E+11,0.000671869,,,
5982,Baby Keem ,lost souls,6,0,174,0,252980,1363271,2.02936E+11,0.000671774,,,
5983,Brantley Gilbert ,The Weekend,8,0,189,0,175918,1363141,2.02936E+11,0.00067171,,,
5984,Miley Cyrus ,WTF Do I Know,5,0,95,0,326367,1362486,2.02936E+11,0.000671387,,,
5985,Young Stoner Life ,Paid the Fine,4,0,31,0,600496,1362463,2.02936E+11,0.000671376,,,
5986,Young Thug ,With Them,9,0,100,0,195780,1362133,2.02936E+11,0.000671213,,,
5987,Bing Crosby ,Adeste Fideles,3,0,104,0,554047,1362092,2.02936E+11,0.000671193,,,
5988,Moneybagg Yo ,Switches & Dracs,6,0,131,0,238678,1361008,2.02936E+11,0.000670659,,,
5989,Twenty One Pilots ,The Judge,14,0,71,0,139955,1361007,2.02936E+11,0.000670658,,,
5990,Justin Bieber ,At Least For Now,4,0,63,0,540515,1360559,2.02936E+11,0.000670438,,,
5991,Rauw Alejandro ,PUNTO 40,5,0,114,0,328540,1360333,2.02936E+11,0.000670326,,,
5992,Eslabon Armado ,SI SUPIERAS,4,0,55,0,543613,1360209,2.02936E+11,0.000670265,,,
5993,Radiohead ,Burn the Witch,8,0,67,0,256802,1359808,2.02936E+11,0.000670068,,,
5994,Flo Rida ,Once In A Lifetime,16,0,80,0,134076,1358571,2.02936E+11,0.000669458,,,
5995,Lil Wayne ,Know You Know (ft. 2 Chainz),4,0,62,0,430048,1358186,2.02936E+11,0.000669268,,,
5996,XXXTENTACION ,Gassed Up!,4,0,47,0,519100,1357202,2.02936E+11,0.000668783,,,
5997,Ty Dolla $ign ,Don't Judge Me,6,0,78,0,330709,1357193,2.02936E+11,0.000668779,,,
5998,BTS ,Go Go,7,0,146,0,222453,1356962,2.02936E+11,0.000668665,,,
5999,Nina Nesbitt ,"Oh Holy Night  Recorded at Metropolis Studios, London",4,0,133,0,402606,1355522,2.02936E+11,0.000667956,,,
6000,Brett Young ,Like I Loved You,7,0,171,0,206400,1355153,2.02936E+11,0.000667774,,,
6001,Lil Tecca ,When You Down,5,0,50,0,421905,1354956,2.02936E+11,0.000667677,,,
6002,Sam Smith ,Leave Your Lover,21,0,89,0,110335,1354930,2.02936E+11,0.000667664,,,
6003,YoungBoy Never Broke Again ,Bring The Hook,6,0,149,0,240355,1354867,2.02936E+11,0.000667633,,,
6004,Childish Gambino ,Algorhythm,4,0,44,0,469859,1354354,2.02936E+11,0.00066738,,,
6005,Kehlani ,Change Your Life,4,0,34,0,567998,1353706,2.02936E+11,0.000667061,,,
6006,Future ,HiTek Tek,3,0,19,0,748562,1353659,2.02936E+11,0.000667038,,,
6007,Justin Bieber ,MLK Interlude,4,0,34,0,603174,1353141,2.02936E+11,0.000666782,,,
6008,Gunna ,Wit It,4,0,52,0,577000,1352984,2.02936E+11,0.000666705,,,
6009,Eminem ,In Your Head,5,0,75,0,392399,1348416,2.02936E+11,0.000664454,,,
6010,One Direction ,Fireproof,17,0,59,0,118835,1348247,2.02936E+11,0.000664371,,,
6011,NF ,My Stress,5,0,82,0,383911,1347546,2.02936E+11,0.000664025,,,
6012,Drake ,Headlines,8,0,112,0,179648,1347337,2.02936E+11,0.000663922,,,
6013,Young Thug ,It's A Slime,4,0,49,0,544248,1347258,2.02936E+11,0.000663883,,,
6014,Selena Gomez ,A Sweeter Place,4,0,51,0,512413,1346217,2.02936E+11,0.00066337,,,
6015,Lana Del Rey ,California,5,0,104,0,367258,1345889,2.02936E+11,0.000663209,,,
6016,The 1975 ,Love It If We Made It,5,0,71,0,401163,1345526,2.02936E+11,0.00066303,,,
6017,Wizkid ,Essence,6,0,130,0,260469,1345318,2.02936E+11,0.000662927,,,
6018,Beyoncé ,Sorry  Original Demo,4,0,60,0,441688,1344345,2.02936E+11,0.000662448,,,
6019,Machine Gun Kelly ,play this when i'm gone,5,0,83,0,382969,1344050,2.02936E+11,0.000662303,,,
6020,Travis Scott ,Nightcrawler,13,0,91,0,131667,1343707,2.02936E+11,0.000662133,,,
6021,Tee Grizzley ,Young Grizzley World,6,0,152,0,241225,1343272,2.02936E+11,0.000661919,,,
6022,Thomas Rhett ,What’s Your Country Song,5,0,56,0,429670,1342466,2.02936E+11,0.000661522,,,
6023,Beyoncé ,SPIRIT,5,0,85,0,384010,1341986,2.02936E+11,0.000661285,,,
6024,Chase Rice ,Lonely If You Are,6,0,153,0,251353,1341872,2.02936E+11,0.000661229,,,
6025,DJ Khaled ,IT AIN'T SAFE,4,0,47,0,494812,1341380,2.02936E+11,0.000660987,,,
6026,Lorde ,The Path,4,0,35,0,582448,1340488,2.02936E+11,0.000660547,,,
6027,Childish Gambino ,Terrified,5,0,51,0,429968,1338563,2.02936E+11,0.000659599,,,
6028,Bruno Mars ,Straight Up & Down,7,0,60,0,291930,1337036,2.02936E+11,0.000658846,,,
6029,Fifth Harmony ,The Life,10,0,108,0,182739,1336784,2.02936E+11,0.000658722,,,
6030,John Legend ,Bring Me Love,4,0,153,0,360319,1335686,2.02936E+11,0.000658181,,,
6031,Future ,Please Tell Me,4,0,47,0,541844,1335366,2.02936E+11,0.000658023,,,
6032,NAV ,Freshman List,6,0,141,0,284390,1334941,2.02936E+11,0.000657814,,,
